libwebp 1.2.1-2
libwmf 0.2.12-2
libwnck3 40.0-1
libwpd 0.10.3-3
libwpe 1.12.0-1
libwpg 0.3.3-2
libwps 0.4.12-1
libx11 1.7.3.1-1
libx86emu 3.5-1
libxau 1.0.9-3
libxaw 1.0.14-1
libxcb 1.14-1
libxcomposite 0.4.5-3
libxcrypt 4.4.27-1
libxcursor 1.2.0-2
libxcvt 0.1.1-1
libxdamage 1.1.5-3
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3
libxext 1.3.4-3
libxfce4ui 4.16.1-1
libxfce4util 4.16.0-1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft 2.3.4-1
libxi 1.8-1
libxinerama 1.1.4-3
libxkbcommon 1.3.1-1
libxkbcommon-x11 1.3.1-1
libxkbfile 1.1.0-2
libxklavier 5.4-3
libxml2 2.9.12-6
libxmu 1.1.3-2
libxnvctrl 495.46-2
libxpm 3.5.13-2
libxpresent 1.0.0-2
libxrandr 1.5.2-3
libxrender 0.9.10-4
libxres 1.2.1-1
libxshmfence 1.3-2
libxslt 1.1.34-6
libxss 1.2.3-3
libxt 1.2.1-1
libxtst 1.2.3-4
libxv 1.0.11-4
libxvmc 1.0.12-3
libxxf86vm 1.1.4-4
libyaml 0.2.5-1
libyuv r2266+eb6e7bb6-1
libzip 1.8.0-1
libzmf 0.0.2-11
licenses 20200427-1
lightdm 1:1.30.0-4
lightdm-gtk-greeter 1:2.0.8-1
lightdm-gtk-greeter-settings 1.2.2-7
lilv 0.24.12-4
linux 5.15.12.arch1-1
linux-api-headers 5.12.3-1
linux-atm 2.5.2-7
linux-firmware 20211027.1d00989-1
linux-headers 5.15.12.arch1-1
llvm-libs 13.0.0-6
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
logrotate 3.18.1-1
lpsolve 5.5.2.11-1
lrexlib-pcre5.1 2.9.0-2
lsb-release 1.4-18
lsscsi 0.32-1
lua 5.4.3-1
lua-yajl 2.0-2
lua51 5.1.5-9
lua51-filesystem 1.8.0-3
lua51-lcf 5.1-3
lua51-luautf8 0.1.3-3
lua51-sql-sqlite 2.3.0-4
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lgi 0.9.2-4
luajit 2.0.5-3
luarocks 3.8.0-1
luazip5.1 1.2.7-1
luit 20210218-1
lv2 1.18.2-1
lvm2 2.03.14-2
lxappearance 0.6.3-4
lz4 1:1.9.3-2
lzo 2.10-3
m17n-db 1.8.0-3
m17n-lib 1.8.0-11
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3
man-db 2.9.4-2
man-pages 5.13-1
materia-gtk-theme 20210322-2
md4c 0.4.8-1
mdadm 4.1-2
meld 3.20.4-2
mesa 21.3.3-2
meson 0.60.3-1
metis 5.1.0.p10-2
minizip 1:1.2.11-5
mjpegtools 2.2.1-1
mkinitcpio 31-2
mkinitcpio-busybox 1.34.1-1
mkinitcpio-nfs-utils 0.3-7
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20210805-1
modemmanager 1.18.4-1
mpfr 4.1.0.p13-1
mpg123 1.29.3-1
mpv 1:0.34.0-4
msgpack-c 4.0.0-1
msmtp 1.8.19-1
mtdev 1.1.6-1
mtools 1:4.0.36-1
mu 1.6.10-1
mudlet 4.14.1-1
mugshot 0.4.3-2
mujs 1.2.0-1
mutt-wizard-git 3.2.1.r105.ge608748-1
mypaint-brushes1 1.3.1-1
nano 6.0-1
nbd 3.23-1
ncspot 0.9.3-1
ncurses 6.3-1
ndctl 72-1
ndisc6 1.0.4-2
neofetch 7.1.0-2
neomutt 20211029-1
neon 0.32.1-1
neovim 0.6.1-1
nerd-fonts-roboto-mono 2.1.0-2
net-tools 2.10-1
netctl 1.26-1
netpbm 10.73.37-1
nettle 3.7.3-1
network-manager-applet 1.24.0-1
networkmanager 1.32.12-2
networkmanager-openvpn 1.8.16-1
newsboat 2.26-1
nextcloud 23.0.0-1
nextcloud-client 2:3.4.1-1
nfs-utils 2.5.4-2
nfsidmap 2.5.4-2
nilfs-utils 2.2.8-2
ninja 1.10.2-1
nm-connection-editor 1.24.0-1
nmap 7.92-1
node-gyp 8.4.1-1
nodejs 17.3.0-1
nodejs-nopt 5.0.0-2
notmuch-runtime 0.34.2-1
noto-fonts 20201226-2
npm 8.3.0-1
npth 1.6-3
nspr 4.33-1
nss 3.73.1-1
nss-mdns 0.15.1-1
ntfs-3g 2021.8.22-1
ntp 4.2.8.p15-1
numactl 2.0.14-1
nvme-cli 1.16-1
offlineimap 8.0.0-2
oniguruma 6.9.7.1-1
openal 1.21.1-2
openconnect 1:8.10-1
opencore-amr 0.1.5-5
opendesktop-fonts 1.4.2-6
openexr 3.1.3-1
openjpeg2 2.4.0-1
openmpi 4.1.2-1
openssh 8.8p1-1
openssl 1.1.1.m-1
openssl-1.0 1.0.2.u-1
openvpn 2.5.5-1
optipng 0.7.7-2
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.79-1
p11-kit 0.24.0-2
pacman 6.0.1-2
pacman-contrib 1.4.0-4
pacman-mirrorlist 20211212-1
pacutils 0.11.1-1
pahole 1.23-1
pam 1.5.2-1
pam-gnupg 0.3-1
pambase 20211210-1
pandoc 2.14.1-83
pango 1:1.50.3-1
pangomm 2.46.2-1
paper-icon-theme 1.5.0.832.aa3e8af-1
papirus-icon-theme 20211201-1
parallel 20211222-1
parole 4.16.0-1
parted 3.4-2
pass 1.7.4-2
patch 2.7.6-8
pavucontrol 1:5.0-1
pciutils 3.7.0-1
pcre 8.45-1
pcre2 10.39-1
pcsclite 1.9.5-1
pcurses 5-5
perl 5.34.0-3
perl-clone 0.45-3
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-file-listing 6.14-2
perl-file-which 1.24-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.12-1
perl-http-date 6.05-4
perl-http-message 6.34-1
perl-http-negotiate 6.01-9
perl-io-html 1.004-2
perl-libwww 6.58-1
perl-lwp-mediatypes 6.04-1
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-timedate 2.33-3
perl-try-tiny 0.31-1
perl-uri 5.10-1
perl-www-robotrules 6.02-9
perl-xml-parser 2.46-3
perl-xml-writer 0.625-7
php 8.0.14-1
php-gd 8.0.14-1
picom-jonaburg-git 0.1-4
pinentry 1.2.0-1
pipewire 1:0.3.42-2
pipewire-media-session 1:0.4.1-1
pixman 0.40.0-1
pkcs11-helper 1.27.0-2
pkgconf 1.8.0-1
pkgfile 21-2
playerctl 2.4.1-1
pnpm-bin 6.24.1-1
polkit 0.120-3
polkit-gnome 0.105-8
polybar 3.5.7-2
poppler 21.11.0-1
poppler-data 0.4.11-1
poppler-glib 21.11.0-1
popt 1.18-2
portaudio 1:19.7.0-1
potrace 1.16-2
ppp 2.4.9-1
pps-tools 1.0.3-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
psmisc 23.4-1
pugixml 1.11.4-1
pulseaudio 15.0-1
pulseaudio-alsa 1:1.2.6-1
pulseaudio-bluetooth 15.0-1
pulseaudio-jack 15.0-1
python 3.10.1-2
python-appdirs 1.4.4-6
python-argcomplete 1.12.3-1
python-cachecontrol 1:0.12.6-4
python-cairo 1.20.1-3
python-cairocffi 1.3.0-1
python-cffi 1.15.0-3
python-chardet 4.0.0-5
python-colorama 0.4.4-6
python-configargparse 1.5-3
python-contextlib2 0.6.0.post1-6
python-cryptography 36.0.1-1
python-dateutil 2.8.2-4
python-defusedxml 0.7.1-4
python-distlib 0.3.3-4
python-distro 1.6.0-4
python-distutils-extra 2.39-10
python-dnspython 1:2.1.0-3
python-future 0.18.2-7
python-gobject 3.42.0-3
python-html5lib 1.1-11
python-idna 3.3-3
python-imaplib2 3.6-4
python-importlib-metadata 4.8.1-3
python-jinja 3.0.3-3
python-jsonpickle 1.5.2-3
python-markdown 3.3.6-3
python-markupsafe 2.0.1-3
python-more-itertools 8.10.0-4
python-msgpack 1.0.3-1
python-ordered-set 4.0.2-6
python-packaging 20.9-7
python-pep517 0.12.0-4
python-pexpect 4.8.0-6
python-pillow 8.4.0-3
python-pip 20.3.4-4
python-ply 3.11-10
python-progress 1.6-5
python-psutil 5.8.0-4
python-ptyprocess 0.7.0-4
python-pyaml 21.8.3-3
python-pycparser 2.21-3
python-pyopenssl 21.0.0-5
